"ArsenicActiveConcentration","BoronActiveConcentration","DopingConcentration","Electron density [cm-3]","Electrostatic potential [V]","Hole density [cm-3]","PhosphorusActiveConcentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.9599975348e+17,1.0000000000e+17,2.9599975348e+17,3.5999977589e+17,-3.0726047915e-02,6.4000022411e+16,0.0000000000e+00,1,5.4000001401e-02,2.5000000373e-02,2.5000000373e-02,5.4000001401e-02
2.2000005245e+17,1.0000000000e+17,1.2000005245e+17,2.0000004768e+17,-1.5700161732e-01,7.9999995232e+16,0.0000000000e+00,1,5.4999999702e-02,2.5000000373e-02,2.5000000373e-02,5.4999999702e-02
4.3999695778e+16,1.0000000000e+17,-5.6000304222e+16,3.9999723434e+16,-2.8327765713e-01,9.6000027657e+16,0.0000000000e+00,1,5.6000001729e-02,2.5000000373e-02,2.5000000373e-02,5.6000001729e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,5.7000000030e-02,2.5000000373e-02,2.5000000373e-02,5.7000000030e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,5.7999998331e-02,2.5000000373e-02,2.5000000373e-02,5.7999998331e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,5.9000000358e-02,2.5000000373e-02,2.5000000373e-02,5.9000000358e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,5.9999998659e-02,2.5000000373e-02,2.5000000373e-02,5.9999998659e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.1000000685e-02,2.5000000373e-02,2.5000000373e-02,6.1000000685e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.1999998987e-02,2.5000000373e-02,2.5000000373e-02,6.1999998987e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.3000001013e-02,2.5000000373e-02,2.5000000373e-02,6.3000001013e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.4000003040e-02,2.5000000373e-02,2.5000000373e-02,6.4000003040e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.4999997616e-02,2.5000000373e-02,2.5000000373e-02,6.4999997616e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.5999999642e-02,2.5000000373e-02,2.5000000373e-02,6.5999999642e-02
